NAME,OKATO,OKTMO,NAME_AO,OKATO_AO,ABBREV_AO,TYPE_MO,population
Киевский,45298555,45945000,Троицкий,45298000,Троицкий,Поселение,12072
Филёвский Парк,45268595,45328000,Западный,45268000,ЗАО,Муниципальный округ,113015
Новофёдоровское,45298567,45954000,Троицкий,45298000,Троицкий,Поселение,21725
Роговское,45298575,45956000,Троицкий,45298000,Троицкий,Поселение,6478
"""Мосрентген""",45297568,45953000,Новомосковский,45297000,Новомосковский,Поселение,22029
Вороновское,45298553,45943000,Троицкий,45298000,Троицкий,Поселение,14592
Михайлово-Ярцевское,45298564,45951000,Троицкий,45298000,Троицкий,Поселение,9287
Марушкинское,45297562,45949000,Новомосковский,45297000,Новомосковский,Поселение,15692
Первомайское,45298572,45955000,Троицкий,45298000,Троицкий,Поселение,24782
Матушкино,45272562,45331000,Зеленоградский,45272000,ЗелАО,Муниципальный округ,41877
Внуково,45268552,45317000,Западный,45268000,ЗАО,Муниципальный округ,26182
Савёлки,45272568,45377000,Зеленоградский,45272000,ЗелАО,Муниципальный округ,36840
Внуковское,45297552,45941000,Новомосковский,45297000,Новомосковский,Поселение,63312
Силино,45272572,45332000,Зеленоградский,45272000,ЗелАО,Муниципальный округ,41586
Кокошкино,45297559,45947000,Новомосковский,45297000,Новомосковский,Поселение,21818
Крюково,45272580,45330000,Зеленоградский,45272000,ЗелАО,Муниципальный округ,108426
Щукино,45283587,45372000,Северо-Западный,45283000,СЗАО,Муниципальный округ,109248
Краснопахорское,45298561,45948000,Троицкий,45298000,Троицкий,Поселение,12896
Нагатинский Затон,45296573,45919000,Южный,45296000,ЮАО,Муниципальный округ,120618
Старое Крюково,45272576,45927000,Зеленоградский,45272000,ЗелАО,Муниципальный округ,33776
Клёновское,45298558,45946000,Троицкий,45298000,Троицкий,Поселение,5609
Дмитровский,45277574,45339000,Северный,45277000,САО,Муниципальный округ,103271
Филимонковское,45297577,45959000,Новомосковский,45297000,Новомосковский,Поселение,16237
Троицк,45298578,45931000,Троицкий,45298000,Троицкий,Городской округ,71089
Тёплый Стан,45293586,45907000,Юго-Западный,45293000,ЮЗАО,Муниципальный округ,132338
Щаповское,45298583,45961000,Троицкий,45298000,Троицкий,Поселение,13350
Московский,45297565,45952000,Новомосковский,45297000,Новомосковский,Поселение,111718
Десёновское,45297556,45944000,Новомосковский,45297000,Новомосковский,Поселение,45606
Ховрино,45277595,45347000,Северный,45277000,САО,Муниципальный округ,93029
Ломоносовский,45293574,45904000,Юго-Западный,45293000,ЮЗАО,Муниципальный округ,87923
